Bed Name,Site Code,Survey Day,Survey Month,Survey Year,Acres,Temp_t,Temp_offset_minus1,Temp_offset_minus2,Temp_offset_minus3,Temp_offset_minus4,PctAcreChange
Hoypus Point,HOYP,19.0,8.0,2016.0,3.712156321615214,14.0,13.674999999999999,13.674999999999999,13.674999999999999,13.674999999999999,
Hoypus Point,HOYP,25.0,7.0,2017.0,3.605777746551023,10.0,14.0,11.5125,11.5125,11.5125,-2.8656814489402715
Hoypus Point,HOYP,6.0,9.0,2021.0,2.128078204958165,15.0,15.0,15.0,15.0,10.0,-40.98143716723246
Hoypus Point,HOYP,18.0,7.0,2022.0,3.944428003098682,13.025,15.0,11.5125,11.5125,11.5125,85.35164703574527
Hoypus Point,HOYP,15.0,8.0,2023.0,3.468347116364568,14.2,13.025,15.0,13.674999999999999,13.674999999999999,-12.069706592695118
Hoypus Point,HOYP,16.0,8.0,2024.0,3.40628028058965,12.825,14.2,13.025,15.0,13.674999999999999,-1.7895220314619098
